eci,S_ENBID,S_CELLID,S_PCI,S_EARFCN,scTotal,NcTotal,AdjLT-10db,Adj-10db,Adj-9db,Adj-8db,Adj-7db,Adj-6db,Adj-5db,Adj-4db,Adj-3db,Adj-2db,Adj-1db,Adj0db,Adj1db,Adj2db,Adj3db,Adj4db,Adj5db,Adj6db,AdjGT6db,GE-10,GE-6,TotalNei,NeiGE-10,NeiGE-6,AdjTotal,Adj-10db,Adj-6db,overlap6db,overshoot6db,avg_adj_report_times,dbmtotal,dbmavg,overlap1_num,overlap1_rate,overlap2_num,overlap2_rate,overlap3_num,overlap3_rate,overlap4_num,overlap4_rate,overlap5_num,overlap5_rate,overlap6_num,overlap6_rate,overlap7_num,overlap7_rate,overlap8_num,overlap8_rate,cmccoverlap_num,cmccoverlap_rate,500M,1000M,1500M,AVG-Distance,SinrUL
175159809_H23,684218,1,471,38400,6412,4692,1447,273,320,394,343,360,365,317,268,230,153,86,52,34,17,11,8,6,8,3245,1915,46,26,20,873,822,605,41,69,0.7,287527,-95,1495,0.233156581409857,345,0.0538053649407361,72,0.0112289457267623,3,0.000467872738615097,0,0,0,0,0,0,0,0,35,0.00545851528384279,0.968184653774173,0.0318153462258266,0,253,35.3718028696195
175159810,684218,2,473,38400,52136,46190,10944,2461,2770,3413,4290,4953,4517,3717,2847,2304,1645,982,632,305,154,80,51,43,82,35246,22312,192,79,47,21384,15930,10647,48,50,0.8,2228772,-97,16663,0.319606413994169,5064,0.0971305815559306,499,0.00957112168175541,75,0.00143854534294921,11,0.000210986650299217,0,0,0,0,0,0,301,0.0057733619763695,0.945776430873101,0.0397230320699708,0.014500537056928,316,35.3553590609176
175159810_H00,684218,2,473,38400,2209,2204,411,132,142,150,237,337,243,182,132,75,52,48,27,17,10,2,1,3,3,1793,1132,46,23,18,624,461,373,51,60,0.9,93917,-97,797,0.360796740606609,292,0.132186509732911,42,0.019013128112268,1,0.000452693526482571,0,0,0,0,0,0,0,0,29,0.0131281122679946,0.959710276143051,0.0289723856948846,0.0113173381620643,330,34.9176097781802
175159810_H01,684218,2,473,38400,1906,1827,260,67,114,161,247,298,209,147,143,82,42,23,16,9,2,4,2,0,1,1567,978,37,20,17,563,465,351,54,62,0.9,78707,-99,710,0.372507869884575,248,0.130115424973767,15,0.00786988457502623,3,0.00157397691500525,2,0.00104931794333683,0,0,0,0,0,0,10,0.00524658971668416,0.974291710388248,0.0199370409233998,0.00577124868835257,315,35.5157397691501
175159810_H02,684218,2,473,38400,2625,3226,263,71,158,350,390,554,533,379,225,132,87,34,32,13,4,0,0,1,0,2963,1994,48,22,18,366,303,192,62,52,1.2,90511,-106,1447,0.551238095238095,510,0.194285714285714,29,0.011047619047619,7,0.00266666666666667,1,0.000380952380952381,0,0,0,0,0,0,11,0.00419047619047619,0.96952380952381,0.0205714285714286,0.0099047619047619,395,34.9699047619048
175159810_H03,684218,2,473,38400,1282,1295,227,100,94,113,147,182,134,112,74,73,25,7,4,2,0,0,0,1,0,1068,614,23,14,11,718,660,521,47,73,1,50582,-101,429,0.334633385335413,155,0.120904836193448,30,0.0234009360374415,0,0,0,0,0,0,0,0,0,0,7,0.00546021840873635,0.946957878315133,0.0374414976599064,0.015600624024961,334,35.4477379095164
175159810_H04,684218,2,473,38400,1152,1069,193,65,69,95,142,116,137,104,48,46,21,4,28,1,0,0,0,0,0,876,505,15,12,11,209,175,121,47,58,0.9,45587,-100,363,0.315104166666667,129,0.111979166666667,13,0.0112847222222222,0,0,0,0,0,0,0,0,0,0,2,0.00173611111111111,0.936631944444444,0.0512152777777778,0.0121527777777778,314,35.4149305555556
175159810_H05,684218,2,473,38400,1226,1073,181,78,88,99,144,145,123,72,59,37,29,6,6,0,5,0,0,1,0,892,483,29,21,16,277,222,145,45,52,0.8,48855,-100,362,0.295269168026101,119,0.0970636215334421,2,0.00163132137030995,0,0,0,0,0,0,0,0,0,0,1,0.000815660685154976,0.937194127243067,0.0440456769983687,0.0187601957585644,335,35.1704730831974
175159810_H06,684218,2,473,38400,1322,1067,268,90,53,84,86,98,103,71,71,67,36,18,12,7,2,1,0,0,0,799,486,25,16,15,448,351,230,46,51,0.8,59596,-95,369,0.279122541603631,107,0.0809379727685325,7,0.00529500756429652,3,0.00226928895612708,0,0,0,0,0,0,0,0,4,0.00302571860816944,0.922844175491679,0.0711043872919818,0.00605143721633888,291,35.7170953101362
175159810_H07,684218,2,473,38400,1650,1142,321,75,75,68,91,126,123,77,70,35,29,13,9,13,6,3,1,1,6,821,512,39,26,18,1224,1052,883,45,72,0.6,76075,-94,414,0.250909090909091,84,0.0509090909090909,13,0.00787878787878788,1,0.000606060606060606,0,0,0,0,0,0,0,0,12,0.00727272727272727,0.900606060606061,0.0860606060606061,0.0133333333333333,307,35.5151515151515
175159810_H08,684218,2,473,38400,2124,1695,376,85,76,116,138,210,143,97,103,114,106,70,28,18,3,4,2,2,4,1319,904,40,31,25,855,641,380,53,44,0.7,96304,-95,645,0.303672316384181,246,0.115819209039548,11,0.0051789077212806,1,0.000470809792843691,1,0.000470809792843691,0,0,0,0,0,0,10,0.00470809792843691,0.912429378531073,0.0550847457627119,0.0324858757062147,355,35.6567796610169
175159810_H09,684218,2,473,38400,1650,1131,357,75,92,88,66,109,110,62,42,27,26,20,31,10,7,3,2,1,3,774,453,42,30,24,681,462,290,40,43,0.6,76446,-94,366,0.221818181818182,71,0.043030303030303,14,0.00848484848484849,2,0.00121212121212121,0,0,0,0,0,0,0,0,12,0.00727272727272727,0.940606060606061,0.0206060606060606,0.0387878787878788,335,35.5581818181818
175159810_H10,684218,2,473,38400,2281,1688,545,84,101,102,113,160,124,80,80,91,84,55,27,13,6,4,6,2,11,1143,743,39,28,23,919,653,356,44,39,0.7,106040,-94,640,0.280578693555458,77,0.0337571240683911,19,0.00832967996492766,7,0.00306882946076282,0,0,0,0,0,0,0,0,11,0.00482244629548444,0.951775537045156,0.0306882946076282,0.0175361683472161,279,35.3454625164402
175159810_H11,684218,2,473,38400,1949,1424,389,88,78,101,168,134,126,119,86,41,40,16,15,12,3,2,3,1,2,1035,600,38,28,26,1546,1198,653,42,42,0.7,86999,-95,472,0.24217547460236,110,0.0564391995895331,16,0.0082093381221139,2,0.00102616726526424,0,0,0,0,0,0,0,0,12,0.00615700359158543,0.940482298614674,0.0379681888147768,0.021549512570549,308,35.4838378655721
175159810_H12,684218,2,473,38400,2179,1870,466,106,113,129,158,187,192,169,124,80,62,34,20,9,6,8,1,2,4,1404,898,49,32,26,828,521,264,48,32,0.8,93041,-97,667,0.306103717301514,214,0.0982101881597063,16,0.00734281780633318,1,0.000458926112895824,0,0,0,0,0,0,0,0,11,0.00504818724185406,0.924736117485085,0.0238641578705828,0.0513997246443323,376,35.3813675998164
175159810_H13,684218,2,473,38400,1919,1381,444,96,92,104,92,108,105,102,73,41,52,34,26,6,3,1,0,1,1,937,553,44,23,21,729,550,394,40,54,0.7,83340,-97,438,0.228243877019281,91,0.0474205315268369,19,0.0099009900990099,3,0.00156331422615946,2,0.00104220948410631,0,0,0,0,0,0,12,0.00625325690463783,0.959353830119854,0.0291818655549765,0.0114643043251694,276,34.9739447628973
175159810_H14,684218,2,473,38400,1783,1524,427,110,117,102,99,165,122,105,100,66,33,36,22,9,4,2,3,1,1,1097,669,50,30,22,997,742,490,44,49,0.8,78176,-96,550,0.308468872686483,104,0.0583286595625351,12,0.00673022994952328,2,0.00112170499158721,1,0.000560852495793606,0,0,0,0,0,0,7,0.00392596747055524,0.935501962983735,0.052720134604599,0.0117779024116657,289,35.2994952327538
175159810_H15,684218,2,473,38400,1420,1230,340,85,73,75,91,100,102,88,88,70,50,28,18,4,6,5,1,1,5,890,566,41,26,21,752,497,283,46,38,0.8,58761,-99,386,0.271830985915493,141,0.0992957746478873,33,0.0232394366197183,5,0.00352112676056338,1,0.000704225352112676,0,0,0,0,0,0,15,0.0105633802816901,0.893661971830986,0.0936619718309859,0.0126760563380282,330,35.2774647887324
175159810_H16,684218,2,473,38400,1860,1724,449,98,119,124,172,141,143,144,100,106,50,25,24,15,4,4,3,2,1,1275,762,45,31,22,916,602,318,44,35,0.9,79992,-97,563,0.302688172043011,151,0.0811827956989247,40,0.021505376344086,8,0.0043010752688172,0,0,0,0,0,0,0,0,28,0.0150537634408602,0.918279569892473,0.0612903225806452,0.0204301075268817,334,35.3263440860215
175159810_H17,684218,2,473,38400,1795,1494,494,88,101,109,108,98,83,87,70,77,59,46,35,16,9,3,4,3,4,1000,594,44,26,20,999,641,377,40,38,0.8,82587,-94,449,0.250139275766017,112,0.0623955431754875,25,0.0139275766016713,7,0.00389972144846797,1,0.000557103064066852,0,0,0,0,0,0,14,0.00779944289693593,0.936490250696379,0.0534818941504178,0.0100278551532033,270,35.4958217270195
175159810_H18,684218,2,473,38400,2615,1973,624,148,140,136,131,130,113,125,123,91,84,57,34,14,8,4,4,3,4,1349,794,52,27,23,912,631,408,40,45,0.7,116674,-95,636,0.24321223709369,135,0.0516252390057361,20,0.00764818355640535,3,0.0011472275334608,0,0,0,0,0,0,0,0,15,0.00573613766730402,0.944933078393881,0.0497131931166348,0.00535372848948375,272,35.3575525812619
175159810_H19,684218,2,473,38400,2968,2666,723,125,124,141,165,208,229,215,178,169,168,107,44,29,19,9,4,2,7,1943,1388,53,23,20,1100,777,543,52,49,0.8,122717,-99,1032,0.347708894878706,324,0.109164420485175,27,0.00909703504043127,5,0.00168463611859838,0,0,0,0,0,0,0,0,17,0.0057277628032345,0.944743935309973,0.0309973045822102,0.0242587601078167,325,35.0993935309973
175159810_H20,684218,2,473,38400,5062,5467,1029,217,304,401,517,604,561,525,431,421,233,111,63,21,11,4,3,4,7,4438,2999,62,26,19,923,639,406,55,44,1,200135,-100,2151,0.424930857368629,813,0.160608455156065,32,0.00632161201106282,3,0.00059265112603714,0,0,0,0,0,0,0,0,21,0.00414855788225998,0.949822204662189,0.0420782299486369,0.00809956538917424,342,35.3492690636112
175159810_H21,684218,2,473,38400,3079,2533,879,139,143,147,191,235,235,166,119,88,71,51,31,12,9,5,1,3,8,1654,1034,69,23,14,1950,1511,1130,41,58,0.8,138381,-95,779,0.253004222150049,233,0.0756739201039298,19,0.00617083468658655,3,0.000974342318934719,0,0,0,0,0,0,0,0,13,0.00422215004871712,0.97239363429685,0.0237089964274115,0.00389736927573888,272,35.4309840857421
175159810_H22,684218,2,473,38400,2774,2340,710,117,123,147,153,151,137,179,142,165,113,95,50,27,17,7,1,2,4,1630,1090,53,27,21,1654,1306,890,47,54,0.8,127204,-94,799,0.288031723143475,261,0.0940879596250901,25,0.00901225666906993,3,0.00108147080028839,2,0.000720980533525595,0,0,0,0,0,0,17,0.00612833453496756,0.967916366258111,0.028478731074261,0.00360490266762797,257,35.4614275414564
175159810_H23,684218,2,473,38400,3306,3147,568,122,181,271,444,357,387,310,166,110,93,44,30,28,10,5,9,6,6,2579,1561,51,27,24,1194,870,649,50,54,0.9,138145,-98,1199,0.362673926194797,337,0.101935874168179,20,0.00604960677555959,5,0.0015124016938899,0,0,0,0,0,0,0,0,10,0.00302480338777979,0.968239564428312,0.0275257108287961,0.00423472474289171,322,35.5710828796128
175159811,684218,3,472,38400,49212,34930,6779,1600,1960,2672,2906,3268,3695,3045,2666,2050,1542,1059,749,384,244,107,78,43,83,28151,19013,220,117,57,12238,6882,3763,54,31,0.7,2024178,-99,13085,0.265890433227668,4217,0.0856904819962611,1414,0.0287328293912054,240,0.00487685930260912,41,0.000833130130862391,14,0.000284483459318865,2,4.06404941884093e-005,0,0,611,0.0124156709745591,0.671929610664066,0.31476062748923,0.0133097618467041,542,35.0730716085508
175159811_H00,684218,3,472,38400,1889,1855,159,59,93,135,194,232,343,231,206,54,53,34,27,14,7,5,2,2,5,1696,1215,42,39,29,628,453,333,65,53,0.9,76277,-100,664,0.351508734780307,382,0.20222339862361,152,0.0804658549497088,12,0.00635256749602965,3,0.00158814187400741,1,0.000529380624669137,1,0.000529380624669137,0,0,63,0.0333509793541556,0.63790365272631,0.355214399152991,0.00688194812069878,592,34.5701429327687
